                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    183,                0.88448,                  1.451,                0.81481,                0.90829,                    0.5,                0.50313,                 0.2053,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                    184,                0.91265,                 1.3035,                  1.046,                0.90829,                    0.5,                0.50313,                 0.2053,                      0,                    inf,                      0,              0.0009415,              0.0009415,              0.0009415
                    185,                 1.0738,                  1.062,                0.98974,                0.90829,                    0.5,                0.50313,                 0.2053,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                    186,                 1.2513,                 1.2458,                 1.3106,                0.90829,                    0.5,                0.50313,                 0.2053,                      0,                    inf,                      0,              0.0008425,              0.0008425,              0.0008425
                    187,                 1.0913,                 1.7289,                 1.3522,                 0.9262,                    0.5,                0.50133,                0.16815,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                    188,                0.66626,                 1.6309,                 1.0419,                 0.9262,                    0.5,                0.50133,                0.16815,                      0,                    inf,                      0,              0.0007435,              0.0007435,              0.0007435
                    189,                 1.0013,                 1.2724,                  1.098,                 0.9262,                    0.5,                0.50133,                0.16815,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                    190,                 1.0171,                 1.6989,                 1.2956,                 0.9262,                    0.5,                0.50133,                0.16815,                      0,                    inf,                      0,              0.0006445,              0.0006445,              0.0006445
                    191,                 1.0449,                 1.8168,                0.99206,                 0.9169,                    0.5,                0.51195,                0.17516,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                    192,                 1.0818,                 1.6185,                 1.3201,                 0.9169,                    0.5,                0.51195,                0.17516,                      0,                    inf,                      0,              0.0005455,              0.0005455,              0.0005455
                    193,                 1.0926,                 1.5075,                 1.3808,                 0.9169,                    0.5,                0.51195,                0.17516,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                    194,                  0.842,                 1.8794,                 1.2855,                 0.9169,                    0.5,                0.51195,                0.17516,                      0,                    inf,                      0,              0.0004465,              0.0004465,              0.0004465
                    195,                 1.0513,                 2.1317,                  1.269,                0.91688,                    0.5,                0.51674,                0.16622,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                    196,                0.76855,                 1.6796,                 1.3413,                0.91688,                    0.5,                0.51674,                0.16622,                      0,                    inf,                      0,              0.0003475,              0.0003475,              0.0003475
                    197,                0.96991,                 1.3629,                 1.1678,                0.91688,                    0.5,                0.51674,                0.16622,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
                    198,                 0.9889,                 1.5342,                 1.2284,                0.91688,                    0.5,                0.51674,                0.16622,                      0,                    inf,                      0,              0.0002485,              0.0002485,              0.0002485
                    199,                0.90299,                 1.9028,                 1.0676,                0.90368,                    0.5,                0.51583,                0.16415,                      0,                    inf,                      0,               0.000199,               0.000199,               0.000199
